Raw,Start,End,Start_region,End_region,Region,AsiaNative
Myanmar China to Philippines and Indonesia  Sulawesi,Myanmar,Sulawesi,IndoChina,Sulawesi,"IndoChina, Malaya, Borneo, Sulawesi, Philippines, Palawan",1
Myanmar to Australia Queensland,Myanmar,Australia,IndoChina,-,"IndoChina, Malaya, Borneo, Sumatra, Java, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Myanmar to Indonesia,Myanmar,Indonesia,IndoChina,Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea ,"IndoChina, Malaya, Borneo, Sumatra, Java, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Myanmar to Indonesia Java,Myanmar,Java,IndoChina,Java,"IndoChina, Malaya, Sumatra, Java",1
Myanmar to Indonesia Sulawesi,Myanmar,Sulawesi,IndoChina,Sulawesi,"IndoChina, Malaya, Borneo, Sulawesi",1
Myanmar to Indonesia Sumatra,Myanmar,Sumatra,IndoChina,Sumatra,"IndoChina, Malaya, Sumatra, Java",1
Myanmar to Japan,Myanmar,Japan,IndoChina,-,IndoChina,1
Myanmar to New Caledonia,Myanmar,-,IndoChina,-,"IndoChina, Malaya, Borneo, Sumatra, Java, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Myanmar to New Guinea,Myanmar,New_Guinea,IndoChina,New_Guinea,"IndoChina, Malaya, Borneo, Sumatra, Java, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Myanmar to Papua New Guinea,Myanmar,New_Guinea,IndoChina,New_Guinea,"IndoChina, Malaya, Borneo, Sumatra, Java, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Myanmar to Philippines,Myanmar,Philippines,IndoChina,Philippines; Palawan,"IndoChina, Philippines, Palawan",1
Nepal to Japan,Nepal,Japan,Indian_Subcontinent,-,"Indian_Subcontinent, IndoChina",1
New Guinea to Australia New South Wales,New_Guinea,Australia,New_Guinea,-,New_Guinea,1
New Guinea to Fiji,New_Guinea,-,New_Guinea,-,New_Guinea,1
New Guinea to Solomon Is,New_Guinea,-,New_Guinea,-,New_Guinea,1
Pakistan to Australia Northern Territory,-,Australia,-,-,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Pakistan to Indonesia,-,Indonesia,-,Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea ,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Pakistan to Indonesia Borneo and Australia,-,Australia,-,-,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Pakistan to Japan and New Guinea,-,New_Guinea,-,New_Guinea,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Pakistan to Philippines,-,Philippines,-,Philippines; Palawan,"Indian_Subcontinent, IndoChina, Philippines, Palawan",1
Philippines to Australia,Philippines,Australia,Philippines; Palawan,-,"Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1
Philippines to Australia Queensland,Philippines,Australia,Philippines; Palawan,-,"Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1
Russia Caucasus to China,-,China,-,-,NA,NA
Russia Europe to China,-,China,-,-,NA,NA
Ryukyu Is to Hawaii,Ryukyu Is.,-,IndoChina,-,NA,NA
SE Asia to Australia Queensland,-,Australia,IndoChina; Malaya; Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea; Philippines; Palawan,-,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea, Philippines, Palawan",1
Senegal to India,-,India,-,Indian_Subcontinent,Indian_Subcontinent,1
South Africa to India,-,India,-,Indian_Subcontinent,Indian_Subcontinent,1
Southeast Asia to Australia,-,Australia,IndoChina; Malaya; Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea; Philippines; Palawan,-,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea, Philippines, Palawan",1
Southern Europe to Central Asia and China,-,China,-,-,NA,NA
Sri Lanka to Australia Queensland,Sri Lanka,Australia,IndoChina,-,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Sri Lanka to China,Sri Lanka,China,Indian_Subcontinent,-,Indian_Subcontinent,1
Sri Lanka to Indonesia,Sri Lanka,Indonesia,Indian_Subcontinent,Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea,"Indian_Subcontinent, IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Sri Lanka to Indonesia Java,Sri Lanka,Java,IndoChina,Java,"IndoChina, Malaya, Sumatra, Java",1
Sri Lanka to Japan,Sri Lanka,Japan,Indian_Subcontinent,-,"Indian_Subcontinent, IndoChina",1
Sri Lanka to Malaysia,Sri Lanka,Malaysia,Indian_Subcontinent,Malaya; Borneo,"Indian_Subcontinent, IndoChina, Malaya, Borneo",1
Sri Lanka to Philippines,Sri Lanka,Philippines,Indian_Subcontinent,Philippines; Palawan,"Indian_Subcontinent, IndoChina, Philippines, Palawan",1
Sri Lanka to Taiwan,Sri Lanka,Taiwan,Indian_Subcontinent,IndoChina,"Indian_Subcontinent, IndoChina",1
Taiwan to Australia,Taiwan,-,IndoChina,-,"Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1
Taiwan to New Guinea,Taiwan,New_Guinea,IndoChina,New_Guinea,"Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1
temperate Asia to China,-,China,-,-,NA,1
Thailand to Australia Queensland,Thailand,Australia,IndoChina,-,"IndoChina, Malaya, Borneo, Sumatra, Java, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Thailand to Indonesia Lesser Sunda Is,Thailand,Lesser_Sundas,IndoChina,Lesser_Sundas,"IndoChina, Malaya, Sumatra, Java, Lesser_Sundas",1
Thailand to Japan Ryukyu Is,Thailand,Ryukyu Is.,IndoChina,IndoChina,IndoChina,1
Turkmenistan to China,-,China,-,-,NA,NA
Ukraine to China,-,China,-,-,NA,NA
Vietnam to Indonesia Java,Vietnam,Java,IndoChina,Java,"IndoChina, Malaya, Sumatra, Java",1
Vietnam to Indonesia Sumatra,Vietnam,Sumatra,IndoChina,Sumatra,"IndoChina, Malaya, Sumatra",1
West Africa to China,-,China,-,-,NA,NA
